Package,Dataset,Topic,Rows,Cols
MASS,drivers,Deaths of Car Drivers in Great Britain 1969-84,192,2
MASS,galaxies,Velocities for 82 Galaxies,82,1
MASS,housing,Frequency Table from a Copenhagen Housing Conditions Survey,1448,4
MASS,newcomb,Newcomb's Measurements of the Passage Time of Light,66,1
MASS,ships,Ships Damage Data,40,7
MASS,shrimp,Percentage of Shrimp in Shrimp Cocktail,18,1
Matrix,USCounties,USCounties Contiguity Matrix,3111,3111
Matrix,CAex,Albers' example Matrix with \Difficult\ Eigen Factorization,72,72
MAVTgsa,data,Example data for MAVTn,16,10
MAVTgsa,GS,Example data for MAVTn,10,4
maxstat,treepipit,Tree Pipit Data,86,2
maxstat,sphase,S-phase fraction of tumor cells,109,3
maxstat,hohnloser,Left ventricular ejection fraction of patients with malignant ventricular tachyarrhythmias.,94,3
maxstat,DLBCL,Diffuse large B-cell lymphoma,42,7
MBCluster.Seq,Count,Sample of Count Data,1000,8
mcll,samp,Posterior samples of model parameters for the salamander mating model,3000,6
mcll,salamander,Salamander mating dataset from McCullagh and Nelder (1989),360,10
mediation,CEDdata,Example Data for the Crossover Encouragement Design,2000,7
mediation,boundsdata,Example Data for the Design Functions,1000,7
mediation,framing,"Brader, Valentino and Suhay (2008) Framing Experiment Data",265,15
mediation,jobs,JOBS II data,899,17
mediation,school,School-level data,568,5
mediation,student,Hypothetical student-level data,9679,13
MEMSS,ergoStool,Ergometrics experiment with stool types,36,3
MEMSS,Wheat2,Wheat Yield Trials,224,5
MEMSS,Wheat,Yields by growing conditions,48,4
MEMSS,Wafer,Modeling of Analog MOS Circuits,400,4
MEMSS,Theoph,Pharmacokinetics of theophylline,132,5
MEMSS,Tetracycline2,Pharmacokinetics of tetracycline,40,4
MEMSS,Tetracycline1,Pharmacokinetics of tetracycline,40,4
MEMSS,Spruce,Growth of Spruce Trees,1027,4
MEMSS,Soybean,Growth of soybean plants,412,5
MEMSS,Remifentanil,Pharmacokinetics of remifentanil,2107,12
MEMSS,Relaxin,Assay for Relaxin,198,3
MEMSS,RatPupWeight,The weight of rat pups,322,5
MEMSS,Rail,Evaluation of Stress in Railway Rails,18,2
MEMSS,Quinidine,Quinidine Kinetics,1471,14
MEMSS,Pixel,X-ray pixel intensities over time,102,4
MEMSS,Phenobarb,Phenobarbitol Kinetics,744,7
MEMSS,PBG,Effect of Phenylbiguanide on Blood Pressure,60,5
MEMSS,Oxide,Variability in Semiconductor Manufacturing,72,5
MEMSS,Ovary,Counts of Ovarian Follicles,308,3
MEMSS,Orthodont,Growth curve data on an orthdontic measurement,108,4
MEMSS,Orange,Growth of orange trees,35,3
MEMSS,Oats,Split-plot Experiment on Varieties of Oats,72,4
MEMSS,Nitrendipene,Assay of nitrendipene,89,4
MEMSS,Muscle,Contraction of heart muscle sections,60,3
MEMSS,Milk,Protein content of cows' milk,1337,4
MEMSS,Meat,Tenderness of meat,30,4
MEMSS,MathAchieve,Mathematics achievement scores,7185,6
MEMSS,MathAchSchool,School demographic data for MathAchieve,160,7
MEMSS,Machines,Productivity Scores for Machines and Workers,54,3
MEMSS,IGF,Radioimmunoassay of IGF-I Protein,237,3
MEMSS,Gun,Methods for firing naval guns,36,4
MEMSS,Glucose2,Glucose Levels Following Alcohol Ingestion,196,4
MEMSS,Glucose,Glucose levels over time,378,4
MEMSS,Gasoline,Refinery yield of gasoline,32,6
MEMSS,Fatigue,Cracks caused by metal fatigue,262,3
MEMSS,Earthquake,Earthquake Intensity,182,5
MEMSS,Dialyzer,High-Flux Hemodialyzer,140,5
MEMSS,Cefamandole,Pharmacokinetics of Cefamandole,84,3
MEMSS,CO2,Carbon Dioxide uptake in grass plants,84,5
MEMSS,BodyWeight,Rat weight over time for different diets,176,4
MEMSS,Assay,Bioassay on Cell Culture Plate,60,4
MEMSS,Alfalfa,Split-Plot Experiment on Varieties of Alfalfa,72,4
meta,cisapride,Cisapride in Non-Ulcer Dispepsia,13,5
meta,amlodipine,Amlodipine for Work Capacity,8,7
meta,Olkin95,Thrombolytic Therapy after Acute Myocardial Infarction,70,6
meta,Fleiss93cont,Mental Health Treatment,5,8
meta,Fleiss93_CR,Import RevMan 5 data files (.csv),15,1
meta,Fleiss93,Aspirin after Myocardial Infarction,7,6
metaLik,vaccine,Data for Bacillus Calmette-Guerin (BCG) vaccine studies.,13,4
metaLik,education,Open education data.,11,2
metaLik,diuretics,Diuretics data.,9,2
metaLik,cholesterol,Serum cholesterol data.,28,3
metaLik,albumin,Albumin data.,4,2
mgcv,columb,Reduced version of Columbus OH crime data,49,8
mi,CHAIN,Subset of variables from the CHAIN project,532,7
mi,nlsyV,National Longitudinal Survey of Youth Extract,400,7
MindOnStats,YouthRisk,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,2530,5
MindOnStats,WtHeightM,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,43,3
MindOnStats,WatchOut,Data from the Asia-Pacific edition to be published Nov 2010,101,7
MindOnStats,VisualAcuity,Data from the Asia-Pacific edition to be published Nov 2010,80,8
MindOnStats,VarianceOfStrength,Data from the Asia-Pacific edition to be published Nov 2010,99,13
MindOnStats,UCDch5,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,18,5
MindOnStats,UCDavis2,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,239,14
MindOnStats,UCDavis1M,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,79,12
MindOnStats,UCDavis1F,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,94,12
MindOnStats,UCDavis1,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,173,12
MindOnStats,UCDWomHt,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,94,4
MindOnStats,TurkeyPop,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,45,2
MindOnStats,TimePerception,Data from the Asia-Pacific edition to be published Nov 2010,120,4
MindOnStats,Textbooks,Data from the Asia-Pacific edition to be published Nov 2010,394,8
MindOnStats,Temperature,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,20,5
MindOnStats,SpeedLimit,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,10,3
MindOnStats,SleepStudy,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,116,2
MindOnStats,SignDist,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,30,2
MindOnStats,SATS98,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,51,4
MindOnStats,RollingFriction,Data from the Asia-Pacific edition to be published Nov 2010,36,4
MindOnStats,Reflexes,Data from the Asia-Pacific edition to be published Nov 2010,40,9
MindOnStats,Rainfall,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,47,2
MindOnStats,PulseMarch,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,40,3
MindOnStats,ProfBooks,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,15,3
MindOnStats,PopSong,Data from the Asia-Pacific edition to be published Nov 2010,763,8
MindOnStats,Physical,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,55,10
MindOnStats,PerHouse,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,16,2
MindOnStats,PennState5,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,175,3
MindOnStats,PennState4,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,75,4
MindOnStats,PennState3,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,227,7
MindOnStats,PennState2,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,205,8
MindOnStats,PennState1M,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,87,9
MindOnStats,PennState1F,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,103,9
MindOnStats,PennState1,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,190,9
MindOnStats,PaperPlanes,Data from the Asia-Pacific edition to be published Nov 2010,144,10
MindOnStats,MusicCDs,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,24,2
MindOnStats,Movies,Data from the Asia-Pacific edition to be published Nov 2010,217,8
MindOnStats,Mobiles,Data from the Asia-Pacific edition to be published Nov 2010,179,10
MindOnStats,Lifts,Data from the Asia-Pacific edition to be published Nov 2010,384,7
MindOnStats,Letters,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,63,3
MindOnStats,IdealWtWomen,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,119,4
MindOnStats,IdealWtMen,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,63,4
MindOnStats,IdealWt,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,182,4
MindOnStats,HumTemp,Data from the Asia-Pacific edition to be published Nov 2010,18,2
MindOnStats,HoldingBreath,Data from the Asia-Pacific edition to be published Nov 2010,102,14
MindOnStats,HeightFoot,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,33,2
MindOnStats,HappyFace,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,89,3
MindOnStats,HandHeight,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,167,3
MindOnStats,GoGoGo,Data from the Asia-Pacific edition to be published Nov 2010,100,7
MindOnStats,GSS93Samp,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,500,11
MindOnStats,GSS93,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,1606,11
MindOnStats,Fish,Data from the Asia-Pacific edition to be published Nov 2010,58,4
MindOnStats,Fashion,Data from the Asia-Pacific edition to be published Nov 2010,821,8
MindOnStats,Fantasy5.99,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,365,6
MindOnStats,Fantasy5,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,2318,6
MindOnStats,Falcon,Data from the Asia-Pacific edition to be published Nov 2010,27,3
MindOnStats,EggCrush,Data from the Asia-Pacific edition to be published Nov 2010,202,5
MindOnStats,Deprived,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,86,2
MindOnStats,Curiosity,Data from the Asia-Pacific edition to be published Nov 2010,153,6
MindOnStats,ChugTime,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,13,2
MindOnStats,Cholest,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,30,4
MindOnStats,Ch4Heights,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,100,2
MindOnStats,Cereals,Data from the Asia-Pacific edition to be published Nov 2010,43,10
MindOnStats,Cash5,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,1560,6
MindOnStats,Carpark,Data from the Asia-Pacific edition to be published Nov 2010,40,5
MindOnStats,CEOData,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,60,2
MindOnStats,Bike,Data from the Asia-Pacific edition to be published Nov 2010,945,5
MindOnStats,BearsFemale,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,19,5
MindOnStats,Beans,Data sets from the U.S. edition of Mind on Statistics by Utts and Heckard.,15,3
MindOnStats,Batteries,Data from the Asia-Pacific edition to be published Nov 2010,61,4
MindOnStats,BMI,Data from the Asia-Pacific edition to be published Nov 2010,99,9
minerva,Spellman,CDC15 Yeast Gene Expression Dataset,23,4382
miP,FLAS,Data that was collected to investigate the usefulness of FLAS,279,12
mirt,Science,Description of Science data,392,4
mirt,SAT12,Description of SAT12 data,600,32
mirt,LSAT7,Description of LSAT7 data,32,6
mixcat,schizo,National Institute of Mental Health shizophrenia study,1603,4
mixdist,poispar,Starting Values of Parameters for the Poisson Data Set,4,3
mixdist,poisdat,Grouped Poisson Data,15,2
mixdist,pikeraw,A Sample of Pike Lengths,523,2
mixdist,pikepar,Starting Values of Parameters for the Pike Data,5,3
mixdist,pike65sg,Length-Frequency Data with Subsamples for Heming Lake Pike,25,7
mixdist,pike65,Length-Frequency Data for Heming Lake Pike,25,2
mixdist,pikdat5,Heming Lake Pike Data,25,6
mixdist,pearsonpar,Starting Values of Parameters for the Pearson's Data,2,3
mixdist,pearson,Karl Pearson's Crab Data,29,2
mixdist,normals,Scale Mixture Data with Three Normal Components,25,2
mixdist,fiftn80,A Mixed Data with Fifteen Normal Components,80,2
mixdist,expdat,A Mixture Data of Three Exponential Distributions,25,2
mixdist,cassie,Cassie's Length-Frequency Example,40,2
mixdist,binpar,Starting Values of Parameters for the Binomial Data Set,4,3
mixdist,bindat,Grouped Binomial Data,21,2
mixedQF,dental,"Measurements on 11 girls and 16 boys, at 4 different ages",108,4
mixsmsn,faithful,Old Faithful Geyser Data,272,2
mixsmsn,bmi,Body Mass Index,2107,1
MKLE,state,Violent death in the USA,50,2
MLDS,kktriad,Difference Scale Judgment Data Sets,165,4
MLDS,kk3,Difference Scale Judgment Data Sets,330,5
MLDS,kk2,Difference Scale Judgment Data Sets,330,5
MLDS,kk1,Difference Scale Judgment Data Sets,330,5
MLDS,Transparency,Difference Scaling of Transparency,2520,6
MLDS,AutumnLab,Difference Scale Judgement Data Set,210,5
monomvn,returns.test,Financial Returns data from NYSE and AMEX,12,1168
monomvn,returns,Financial Returns data from NYSE and AMEX,360,1168
monomvn,cement.miss,Hald's Cement Data,13,5
monomvn,cement,Hald's Cement Data,13,5
moonsun,starcat,Data extracted from Yale bright star catalogue,9110,4
moonsun,bright,Brighest stars coordinates,23,2
mosaicData,Alcohol,Alcohol Consumption per Capita,411,4
mosaicData,Birthdays,US Births in 1969 - 1988,372864,7
mosaicData,Births,US Births,7305,8
mosaicData,Births78,US Births in 1978,365,4
mosaicData,CPS85,Data from the 1985 Current Population Survey (CPS85),534,11
mosaicData,CoolingWater,CoolingWater,222,2
mosaicData,Countries,Countries,288,3
mosaicData,Dimes,Weight of dimes,30,2
mosaicData,Galton,Galton's dataset of parent and child heights,898,6
mosaicData,Gestation,Data from the Child Health and Development Studies,1236,23
mosaicData,GoosePermits,Goose Permit Study,11,3
mosaicData,HELPfull,Health Evaluation and Linkage to Primary Care,1472,788
mosaicData,HELPmiss,Health Evaluation and Linkage to Primary Care,470,25
mosaicData,HELPrct,Health Evaluation and Linkage to Primary Care,453,27
mosaicData,HeatX,Data from a heat exchanger laboratory,6,7
mosaicData,KidsFeet,Foot measurements in children,39,8
mosaicData,Marriage,Marriage records,98,15
mosaicData,Mites,Mites and Wilt Disease,47,2
mosaicData,RailTrail,Volume of Users of a Rail Trail,90,10
mosaicData,Riders,Volume of Users of a Massachusetts Rail Trail,90,12
mosaicData,SAT,State by State SAT data,50,8
mosaicData,SaratogaHouses,Houses in Saratoga County (2006),1728,16
mosaicData,SnowGR,"Snowfall data for Grand Rapids, MI",119,15
mosaicData,SwimRecords,100 m Swimming World Records,62,3
mosaicData,TenMileRace,Cherry Blossom Race,8636,5
mosaicData,Utilities,Utility bills,117,12
mosaicData,Utilities2,Utility bills,117,19
mosaicData,Whickham,Data from the Whickham survey,1314,3
motmot,anolis.data,Anolis data,165,6
MPV,table.b9,Data Set for Table B9,62,5
MPV,table.b8,Table B8,36,3
MPV,table.b7,Data Set for Table B7,16,6
MPV,table.b6,Data Set for Table B6,28,5
MPV,table.b5,Data Set for Table B5,27,8
MPV,table.b4,Table B4,24,10
MPV,table.b3,Table B3,32,12
MPV,table.b2,Table B2,29,6
MPV,table.b14,Table B14,25,6
MPV,table.b13,Table B13,40,7
MPV,table.b12,Table B12,32,6
MPV,table.b11,Table B11,38,7
MPV,table.b10,Table B10,40,3
MPV,table.b1,Table B1,28,10
MPV,stackloss,Stackloss Data,21,4
MPV,solar,Solar Data,29,6
MPV,softdrink,Softdrink Data,25,3
MPV,p9.10,Data Set for Problem 9-10,31,7
MPV,p8.3,Data Set for Problem 8-3,25,3
MPV,p8.11,Data Set for Problem 8-11,25,2
MPV,p7.6,Data Set for Problem 7-6,12,3
MPV,p7.4,Data Set for Problem 7-4,12,2
MPV,p7.2,Data Set for Problem 7-2,10,2
MPV,p7.19,Data Set for Problem 7-19,10,2
MPV,p7.16,Data Set for Problem 7-16,26,4
MPV,p7.15,Data Set for Problem 7-15,6,2
MPV,p7.11,Data Set for Problem 7-11,11,2
MPV,p7.1,Data Set for Problem 7-1,10,1
MPV,p5.5,Data Set for Problem 5-5,14,2
MPV,p5.4,Data Set for Problem 5-4,8,2
MPV,p5.3,Data Set for Problem 5-3,12,2
MPV,p5.2,Data Set for Problem 5-2,11,2
MPV,p5.11,Data Set for Problem 5-11,8,7
MPV,p5.10,Data Set for Problem 5-10,27,8
MPV,p5.1,Data Set for Problem 5-1,8,2
MPV,p4.20,Data Set for Problem 4-20,26,6
MPV,p4.19,Data Set for Problem 4-19,14,4
MPV,p4.18,Data Set for Problem 4-18,13,4
MPV,p2.9,Data Set for Problem 2-9,25,2
MPV,p2.7,Data Set for Problem 2-7,20,2
MPV,p2.16,Data Set for Problem 2-16,33,2
MPV,p2.15,Data Set for Problem 2-15,8,2
MPV,p2.14,Data Set for Problem 2-14,8,2
MPV,p2.13,Data Set for Problem 2-13,16,2
MPV,p2.12,Data Set for Problem 2-12,12,2
MPV,p2.10,Data Set for Problem 2-10,26,2
MPV,p15.4,Data Set for Problem 15-4,40,4
MPV,p14.2,Data Set for Problem 14-2,18,3
MPV,p14.1,Data Set for Problem 14-1,15,3
MPV,p13.7,Data Set for Problem 13-7,44,5
MPV,p13.6,Data Set for Problem 13-6,15,3
MPV,p13.5,Data Set for Problem 13-5,20,3
MPV,p13.4,Data Set for Problem 13-4,11,3
MPV,p13.3,Data Set for Problem 13-3,10,3
MPV,p13.20,Data Set for Problem 13-20,30,2
MPV,p13.2,Data Set for Problem 13-2,20,2
MPV,p13.16,Data Set for Problem 13-16,16,5
MPV,p13.1,Data Set for Problem 13-1,25,2
MPV,p12.8,Data Set for Problem 12-8,14,2
MPV,p12.12,Data Set for Problem 12-12,18,3
MPV,p12.11,Data Set for Problem 12-11,44,2
MPV,p11.15,Data set for Problem 11-15,9,2
MPV,p11.12,Data For Problem 11-12,19,2
MPV,cement,Cement Data,13,5
mratios,rat.weight,Body weight of rats in a toxicity study,20,2
mratios,angina,The angina data set,50,2
mratios,SRAssay,Slope ratio assay of panthotenic acid contents in plant tissues,34,3
mratios,Penicillin,Comparing 6 strains with respect to production of antibiotics,48,2
mratios,Mutagenicity,Mutagenicity assay,31,2
mratios,BW,Body weights measured in a toxicological study,60,2
mratios,ASAT,ASAT data,34,2
mratios,AP,Angina pectoris data,303,2
mtsdi,miss,Sample Dataset,24,5
multcomp,waste,Industrial Waste Data Set,30,3
multcomp,trees513,Frankonian Tree Damage Data,2700,4
multcomp,sbp,Systolic Blood Pressure Data,69,3
multcomp,recovery,Recovery Time Data Set,41,2
multcomp,mtept,Multiple Endpoints Data,111,5
multcomp,litter,Litter Weights Data Set,74,4
multcomp,fattyacid,Fatty Acid Content of Bacillus simplex.,93,2
multcomp,detergent,Detergent Durability Data Set,50,3
multcomp,cml,Chronic Myelogenous Leukemia survival data.,507,7
multcomp,cholesterol,Cholesterol Reduction Data Set,50,2
multcomp,adevent,Adverse Events Data,160,29
multgee,arthritis,Rheumatoid Arthritis Clinical Trial,906,7
multgee,housing,Homeless Data,1448,4
multisensi,plan,A factorial input design for the main example,2187,7
multisensi,Climat,Climate data,3126,4
mvnmle,missvals,A multivariate data set with missing values.,13,5
mvnmle,apple,Worm Infestations in Apple Crops,18,2
nadiv,warcolak,Pedigree and phenotypic values for a mythical population of Warcolaks,5400,6
nadiv,Mrode9,"Pedigree, adapted from example 9.1 of Mrode (2005)",12,3
nadiv,Mrode2,Pedigree from Table 2.1 of Mrode (2005),6,3
nadiv,FG90,"Pedigree, adapted from Table 1 in Fernando & Grossman (1990)",8,4
NCBI2R,gwas,Sample gwas data from a fictional project,182135,4
ncvreg,prostate,Factors associated with prostate specific antigen,97,9
ncvreg,heart,Risk factors associated with heart disease,462,10
NestedCohort,zinc,Example Study Nested within a Cohort: Zinc and Esophageal Cancer,431,61
NetData,task_df (studentnets.S641),M182 - Honors Algerbra II,484,3
NetData,task_df (studentnets.M182),M182 - Honors Algerbra II,484,3
NetData,social_df (studentnets.S641),M182 - Honors Algerbra II,484,3
NetData,social_df (studentnets.M182),M182 - Honors Algerbra II,484,3
NetData,sem2 (studentnets.peerinfl),"Peerinfl - High school data for 36 classrooms, 25 have 2 semesters",10513,7
NetData,sem1 (studentnets.peerinfl),"Peerinfl - High school data for 36 classrooms, 25 have 2 semesters",2628,14
NetData,s641_full_data_frame (studentnets.S641),"S641 - Biology, 11-12th Grade Biology II",484,4
NetData,reports_to_data_frame (kracknets),Krackhardt's Data on Ties among High-Tech Workers,441,3
NetData,nodes (studentnets.ergm173),"ergm173 - Math, 10th Grade Honors Trig (same as mrqap173 but different format)",22,5
NetData,m182_sem2_TSL (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem2_SSL (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem1_TSL (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem1_SSL (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem1_SEAT (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem1_RCE (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem1_GND (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_sem1_FRN (studentnets.mrqap182),"mrqap182 - Math, 10th Grade Honors Trig",15,15
NetData,m182_full_data_frame (studentnets.M182),M182 - Honors Algerbra II,256,5
NetData,m173_sem2_TSL (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem2_SSL (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem1_TSL (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem1_SSL (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem1_SEAT (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem1_RCE (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem1_GND (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,m173_sem1_FRN (studentnets.mrqap173),"mrqap173 - Math, 10th Grade Honors Trig",26,26
NetData,krack_full_data_frame (kracknets),Krackhardt's Data on Ties among High-Tech Workers,441,5
NetData,friendship_data_frame (kracknets),Krackhardt's Data on Ties among High-Tech Workers,441,3
NetData,friend_df (studentnets.M182),M182 - Honors Algerbra II,256,3
NetData,attributes (kracknets),Krackhardt's Data on Ties among High-Tech Workers,21,4
NetData,advice_data_frame (kracknets),Krackhardt's Data on Ties among High-Tech Workers,441,3
nga,KBflatfile,Example Earthquake Records from Recent California Earthquakes,1060,45
nlme,ergoStool,Ergometrics experiment with stool types,36,3
nlme,bdf,Language scores,2287,28
nlme,Wheat2,Wheat Yield Trials,224,5
nlme,Wheat,Yields by growing conditions,48,4
nlme,Wafer,Modeling of Analog MOS Circuits,400,4
nlme,Tetracycline2,Pharmacokinetics of tetracycline,40,4
nlme,Tetracycline1,Pharmacokinetics of tetracycline,40,4
nlme,Spruce,Growth of Spruce Trees,1027,4
nlme,Soybean,Growth of soybean plants,412,5
nlme,Remifentanil,Pharmacokinetics of remifentanil,2107,12
nlme,Relaxin,Assay for Relaxin,198,3
nlme,RatPupWeight,The weight of rat pups,322,5
nlme,Rail,Evaluation of Stress in Railway Rails,18,2
nlme,Quinidine,Quinidine Kinetics,1471,14
nlme,Pixel,X-ray pixel intensities over time,102,4
nlme,Phenobarb,Phenobarbitol Kinetics,744,7
nlme,PBG,Effect of Phenylbiguanide on Blood Pressure,60,5
nlme,Oxide,Variability in Semiconductor Manufacturing,72,5
nlme,Oxboys,Heights of Boys in Oxford,234,4
nlme,Ovary,Counts of Ovarian Follicles,308,3
nlme,Orthodont,Growth curve data on an orthdontic measurement,108,4
nlme,Oats,Split-plot Experiment on Varieties of Oats,72,4
nlme,Nitrendipene,Assay of nitrendipene,89,4
nlme,Muscle,Contraction of heart muscle sections,60,3
nlme,Milk,Protein content of cows' milk,1337,4
nlme,Meat,Tenderness of meat,30,4
nlme,MathAchieve,Mathematics achievement scores,7185,6
nlme,MathAchSchool,School demographic data for MathAchieve,160,7
nlme,Machines,Productivity Scores for Machines and Workers,54,3
nlme,IGF,Radioimmunoassay of IGF-I Protein,237,3
nlme,Gun,Methods for firing naval guns,36,4
nlme,Glucose2,Glucose Levels Following Alcohol Ingestion,196,4
nlme,Glucose,Glucose levels over time,378,4
nlme,Gasoline,Refinery yield of gasoline,32,6
nlme,Fatigue,Cracks caused by metal fatigue,262,3
nlme,Earthquake,Earthquake Intensity,182,5
nlme,Dialyzer,High-Flux Hemodialyzer,140,5
nlme,Cefamandole,Pharmacokinetics of Cefamandole,84,3
nlme,BodyWeight,Rat weight over time for different diets,176,4
nlme,Assay,Bioassay on Cell Culture Plate,60,4
nlme,Alfalfa,Split-Plot Experiment on Varieties of Alfalfa,72,4
nonrandom,stu1,Data example stu1,646,9
nonrandom,pride,Data example pride,3078,15
nontarget,peaklist,HRMS peak list,11172,3
nontarget,iso_list,Isotope list,59,5
nontarget,adduct_list,Adduct list,45,6
nopp,italy2006.wide,2006 Italian General Election survey,524,15
nopp,italy2006.lin,2006 Italian General Election survey,438,18
nopp,italy2006,2006 Italian General Election survey,438,18
nparcomp,liver,Relative liver weights,38,2
nparcomp,impla,Numbers of implantations,29,2
nparcomp,colu,Numbers of corpora lutea,92,2
npde,virload50,Simulated HIV viral loads in HIV patients,300,5
npde,virload20,Simulated HIV viral loads in HIV patients,300,5
npde,virload,Simulated HIV viral loads in HIV patients,300,5
npde,theopp,Pharmacokinetics of theophylline,132,5
npde,simvirload,"Simulated data for the computation of normalised prediction distribution errors, viral load example",300000,3
npde,simtheopp,Simulated data for the computation of normalised prediction distribution errors,13200,3
nplplot,lods2,LOD score table for chromosome 1,87,5
nplplot,lods1,LOD score table for chromosome 1,100,5
nsRFA,parameters (hydroSIMN),Data-sample,47,16
nsRFA,monthlyflows (hydroSIMN),Data-sample,12648,4
nsRFA,meanmonthlyflows (hydroSIMN),Data-sample,47,13
nsRFA,cd (FEH1000),Data-sample,1000,24
nsRFA,annualflows (hydroSIMN),Data-sample,1222,3
nsRFA,am (FEH1000),Data-sample,23410,4
nsRFA,.polig (functionsLaio),Data-sample,20000,2
nsRFA,.kgev (functionsLaio),Data-sample,5334,2
Oncotree,ov.cgh,Ovarian cancer CGH data,87,7
opm,vaas_4,"Example dataset from Vaas et al. (2012), four selected plates",4,384
opm,vaas_1,"Example dataset from Vaas et al. (2012), a single selected plate",384,96
opmdata,vaas_et_al,Example dataset from Vaas et al. (2012),114,384
oposSOM,tissue.data (tissues),Example data set.,38459,12
ordPens,ICFCoreSetCWP,ICF Core Set for Chronic Widespread Pain,420,68
ORIClust,Breast,Breast cancer cell line data,1901,50
ORMDR,sample.dat,sample data,400,21
paleoMAS,quexilper,Pollen percentages Lake Quexil,68,76
paleoMAS,quexilchron,Chronology Lake Quexil,3,3
paleoMAS,modernq,Pollen counts Northern Quebec Treeline,53,55
paleoMAS,fossilq,Pollen percentages Aluik Pond,9,25
parfm,reconstitution,Reconstitution of blood-milk barrier after reconstitution,200,5
parfm,mastitis,Correlated infection times in four cow udder quarters,400,7
parfm,insemtvc,Time to first insemtvcination in dairy heifer cows with time varying covariates,93608,14
parfm,insem,Time to first insemination in dairy heifer cows without time varying covariates,10513,8
